Reference SFDC Data File Name,Master Type (Finnone/Manual),Finnone Master shared with PWC on 17-02-2025,SFDC Master Name,Rule - Primary / composite Key column,In which Category we need to add,Shoud not be empty
Dealer to Account Map,Finnone Master,lea_supplier_payment_dtl_m - 25-02-2025.xlsx,Account,AgencyCode__c,RecordType.Name = 'Business Account' AND Partner_Type__c = 'Dealer',"AgencyCode__c,BillingCity, BnfName__c,AccountNumber"
Dealer to Contact Map,Finnone Master,,Contact,AccountId,Account.RecordType.Name='Business Account' and Account.Partner_Type__c ='Dealer',LastName
Dealer to BankMaster Map,Finnone Master,,BankMstr__c,"Partner_Account__c, Bank_Ac_No__c,MICRCode__c,IFSC_Code__c,Bank_Name__c,Cash_Bank_Account__c,Cash_Bank_Acc_Desc__c,BankId__c,City_ID__c",RecordType.Name='Partner',"Name,Partner_Account__c,Partner_Account__r.AgencyCode__c, Bank_Ac_No__c,MICRCode__c,IFSC_Code__c,Data_Categorisation__c,Bank_Name__c,Cash_Bank_Account__c,BankId__c,City_ID__c,Disburse_To__c,Payment_Mode__c,FT_Mode__c"
Dealer to Branch Map,Finnone Master,lea_supplier_branch_link_m.xlsx,AgncLocMap__c,"Account__c,BankBrchMst__c",AgencyType__c ='Dealer' and Relation_Type__c ='DealerProductBranch',Relation_Type__c
Dealer to Manufacturer Map,Finnone Master,lea_supplier_manufac_link_m.xlsx,AgncLocMap__c,"Account__c,Manufacturer_ID__c",Relation_Type__c = 'DealerManufacturer' ,Relation_Type__c
Agency to Account Map,Manual Master,Agency details shared by Credit Team,Account,AgencyCode__c,Partner_Type__c = 'Agency',"Partner_Type__c ,Product__c ,Status__c ,AgencyCode__c"
Agency to Contact Map,,,Contact,AccountId,Account.Partner_Type__c = 'Agency',"Partner_Type__c ,Product__c ,Status__c ,AgencyCode__c"
Agency to User Map,,,user,"LastName, username, email,ContactId",profile.name= 'AgencyProfile' AND ISActive = true and Account.Partner_Type__c = 'Agency',"LastName, username, email,ContactId"
Agency to Branch Map,,,AgncLocMap__c,"Account__c,BankBrchMst__c",Account__r.Partner_Type__c = 'Agency',"ACCOUNT__C,ACCOUNT__r.Agencycode__c, AGENCYTYPE__C,BANKBRCHMST__C,BANKBRCHMST__r.BrchCode__c, CONTACT__C,ISACTIVE__C"
Finnone Bank Master Map,Finnone Master,PDC_BANK_MST.xlsx,BankMstr__c,"Name,Bank_Name__c,BankId__c,Bank_Address__c,Branch_Id__c,BankCode__c,Branch_Name__c,MICRCode__c,IFSC_Code__c,City_ID__c,City_Name__c",RecordType.Name='Finnone',Data_Categorisation__c
